ENGLISH SENTENCES	ARABIC SENTENCES	BANGLA SENTENCES	CHINESE SENTENCES	FRENCH SENTENCES	HATIAN CREOLE SENTENCE	MALAY SENTENCES	B_PORTUGUESE SENTENCES	RUSSIAN SENTENCES	SPANISH SENTENCES	SWAHILI  SENTENCES	TAMIL SENTENCES	THAI SENTENCES	URDU SENTENCE
No party is complete without cake.	لا تـكـتـمـل أي حـفـلـة بـدون الـكـعـكـة.	কোন পার্টি কেক ছাড়া সম্পূর্ণ না	没有蛋糕的派对时不完整的。	Aucune fête n'est complète sans gâteau.	Pa gen fèt san gato.	Tiada pesta yang lengkap tanpa kek.	Nenhuma festa está completa sem bolo.	Ни одна вечеринка не обходится без торта.	No hay fiesta sin una torta.	Hii ni nchi yangu	கேக் இல்லாமல் எந்த விருந்தும் நிறைவடைவதில்லை.	นี่คือประเทศของฉัน	کوئی بھی دعوت کیک کے بغیر مکمل نہیں ہوتی۔
This is my country.	هـذه بـلـدي.	এইটা আমার দেশ	这是我的国家。	C'est mon pays.	Sa se peyi m'.	Ini negara saya.	Este é o meu país.	Это моя страна.	Este es mi país.	Nina uhakika tutashinda	இது என் நாடு.	ฉันมั่นใจว่าเราจะชนะ	یہ میرا مُلک ہے۔
I am certain we will win.	إنـنـي مُتـأكـد أنـنـا سـوف نـفـوز.	আমি নিশ্চিত আমরাই জিতব	我非常确定我们会赢。	Je suis sûr que nous allons gagner.	Mwen sèten nou pral genyen.	Saya yakin kita akan menang.	Tenho certeza que vamos ganhar.	Я уверен, что мы победим.	Yo estoy seguro que ganaremos.	Huyo mtu mwingine ni nani?	நாம் வெற்றி பெறுவோம் என்பதில் நான் உறுதியாக உள்ளேன்.	คนอื่นคือใคร	مجھے یقین ہے کہ ہم جیتیں گے۔
Who is that other person?	مـن هـذا الـشـخـص الآخـر؟	ওই মানুষটি কে?	另外一个人是谁？	Qui est cette autre personne ?	Kiyès lòt moun sa a ye?	Siapa orang lain itu?	Quem é a outra pessoa?	Кто этот другой человек?	¿Quién es la otra persona?	Huyo mtu mwingine ni nani?	யார் அந்த மற்றொரு நபர்?	คนอื่นคือใคร	وہ دوسرا شخص کون ہے؟
This is my mother.	هـذه والـدتـي.	এটা আমার মা	另外一个人是谁？	C'est ma mère.	Sa a se manmanm m'.	Ini ibu saya.	Esta é a minha mãe.	Это моя мама.	Ella es mi madre.	Huyu ni mama yangu	யார் அந்த மற்றொரு நபர்?	นี่คือแม่ของฉัน	یہ میری ماں ہے.
I have nothing to eat.	لا يـوجـد لـدي شـىء للأكـل.	আমার কাছে খাওয়ার জন্য কোন কিছু নাই	这是我妈妈。	Je n'ai rien à manger.	Mwen pa gen anyen pou m' manje.	Saya tidak ada apa-apa untuk dimakan.	Não tenho nada para comer.	Мне нечего есть.	No tengo nada que comer.	Sina chochote cha kula	இது என் அம்மா.	ฉันไม่มีอะไรจะกิน	میرے پاس کھانے کو کچھ نہیں ہے۔
Who is that other person?	مـن هـذا الـشـخـص الآخـر؟	ওই মানুষটি কে?	我没有吃的。	Qui est l'autre personne ?	Kiyès lòt moun sa a ye?	Siapa orang lain itu?	Quem é a outra pessoa?	Кто этот другой человек?	¿Quién es la otra persona?	Nilikuwa wa pili kwenye mashindano ya mbio	எனக்கு சாப்பிட எதுவும் இல்லை.	ฉันเป็นที่สองในการแข่งขัน	وہ دوسرا شخص کون ہے؟
I was second in the race.	لـقـد كُـنـت الـثـانـي فـى الـسـبـاق.	আমি দৌড়ে দ্বিতীয় হয়েছিলাম	我在比赛中取得了第二名。	J'étais deuxième dans la course.	Mwen te dezyèm nan kous la.	Saya berada di tempat kedua dalam perlumbaan.	Eu era o segundo na corrida.	Я был вторым в гонке.	Yo llegué segundo en la carrera.	Safisha juu ya meza	நான் பந்தயத்தில் இரண்டாவதாக வந்தேன்.	ทำความสะอาดพื้นผิวของตาราง	میں دوڑ میں دوسرے نمبر پر تھا۔
Clean the surface of the table.	نَـظِـفْ سـطــح الـمـنـضـدة.	পুরো টেবিলটি পরিষ্কার করো	清洁桌子表面。	Nettoie la surface de la table.	Netwaye sifas tab la.	Bersihkan permukaan meja.	Limpe a superfície da mesa.	Очисти поверхность стола.	Limpia la mesa.	Nilitaka barafu (ice cream)	மேசையின் மேற்பகுதியை சுத்தம் செய்யுங்கள்.	ฉันต้องการไอศครีม	میز کی سطح کو صاف کریں۔
I wanted ice cream.	أردتُ الآيس كريم.	আমি আইসক্রিম চেয়েছিলাম	我当时想要冰淇淋。	Je voulais de la crème glacée.	Mwen te vle krèm glase.	Saya mahukan ais krim.	Eu queria sorvete.	Я хотел мороженое.	Yo quería helados.	Kuna kitu kina shida hapa	நான் ஐஸ்க்ரீம் வேண்டுமென விரும்பினேன்.	มีอะไรผิดปกติกับมัน	مجھے آئس کریم چاہیے تھی۔
Something is wrong with this.	شـىء مـا خـاطـىء فى ذلك.	কোন কিছু ভুল হচ্ছে	这个有问题。	Il y a un problème.	Gen yon bagay ki pa mache nan sa a.	Ada yang tidak kena dengan ini.	Há algo de errado com isso.	Что-то не так.	Hay algo errado en esto.	Kuna wakati nahisi baridi	இதில் ஏதோ தவறு உள்ளது.	บางครั้งฉันหนาว	اس میں کچھ غلط ہے۔
Sometimes I get cold.	بـعـضُ الأحـيـان أشـعُـر بالـبـرد.	মাঝেমধ্যে আমি ঠান্ডা হয়ে যায়	有时我感觉到冷。	Parfois, j'ai froid.	Pafwa m' frèt.	Kadang-kadang saya menjadi sejuk.	Às vezes eu fico com frio.	Иногда я простужаюсь.	A veces tengo frío.	Anaishi kwenye milima	சில நேரங்களில் எனக்கு குளிர்கிறது.	เขาอาศัยอยู่ในภูเขา	کبھی کبھار مجھے سردی لگ جاتی ہے۔
He lives in the mountains.	إنـهُ يـعـيـش فـى الـجـبـال.	সে পাহাড়ের উপর বাস করে	他住在大山里。	Il vit dans les montagnes.	L'ap viv nan mòn.	Dia tinggal di pergunungan.	Ele vive nas montanhas.	Он живет в горах.	Él vive en las montañas.	Hii sentensi ni fupi	அவர் மலைகளில் வாழ்கிறார்.	นี่เป็นประโยคสั้น ๆ	وہ پہاڑوں میں رہتا ہے۔
This is a short sentence.	هـذه جـمـلـة قـصـيـرة.	এটা একটা সংক্ষিপ্ত বাক্য	这是一个短句子。	C'est une phrase courte.	Sa a se yon fraz kout.	Ini adalah ayat pendek.	Esta é uma frase curta.	Это короткое предложение.	Esta es una oración corta.	Unaweza cheza kwenye eneo hilo	இது ஒரு குறுகிய வாக்கியம்.	คุณสามารถเล่นในพื้นที่นั้น	یہ ایک مختصر جملہ ہے۔
You can play in that area.	يُـمـكـنـك الـلـعـب فـى هـذه الـمـنـطـقـة.	তুমি ওই এলাকার মধ্যে খেলতে পারো	你可以在那个区域玩耍。	Tu peux jouer dans cette zone.	Ou ka jwe nan espas sa a.	Anda boleh bermain di kawasan itu.	Você pode jogar nessa área.	Ты можешь играть в этой области.	Tú puedes jugar en esa área.	Nina wazo zuri	நீங்கள் அந்த பகுதியில் விளையாடலாம்.	ฉันมีความคิดที่ดี	آپ اس علاقے میں کھیل سکتے ہیں۔
I have a good idea.	لـدي فـكـرة جـيـدة.	আমার কাছে একটি ভালো বুদ্ধি আছে	我有一个好主意。	J'ai une bonne idée.	Mwen gen yon bon lide.	Saya mempunyai idea yang baik.	Tenho uma boa ideia.	У меня есть хорошая идея.	Yo tengo una buena idea.	Naona mnyama mwingine	என்னிடம் ஒரு நல்ல யோசனை உள்ளது.	ฉันเห็นสัตว์อื่น	مجھے پاس ایک اچھی تجویز ہے۔
I see another animal.	إنـنـي أرى حـيـوانٌ آخـر.	আমি আরো একটি জন্তু দেখলাম	我看见另一个动物。	Je vois un autre animal.	Mwen wè yon lòt bèt.	Saya melihat haiwan lain.	Vejo outro animal.	Я вижу другое животное.	Yo veo un animal más.	Naona mnyama mwingine	நான் மற்றொரு மிருகத்தை பார்க்கிறேன்.	ฉันเห็นสัตว์อื่น	میں ایک اور جانور دیکھتا ہوں۔
She has several good ideas.	إنـهـا لـديـهـا الـعـديـد مـن الأفـكـار الـجـيـدة.	তার কাছে বেশ কয়েকটি ভালো বুদ্ধি আছে	她有几个好主意。	Elle a plusieurs bonnes idées.	Li gen plizyè bon lide.	Dia mempunyai beberapa idea yang baik.	Ela tem várias boas ideias.	У нее есть несколько хороших идей.	Ella tiene varias ideas buenas.	Uko tofauti na wale	அவளிடம் பல நல்ல யோசனைகள் உள்ளன.	คุณไม่เหมือนคนอื่น	اس کے پاس متعدد اچھے خیالات ہیں۔
You are different from the others.	إنـكَ تـخـتـلـف عـن الآخـرون.	তুমি অন্যদের থেকে আলাদা	你和其他人不一样。	Tu es différente des autres.	Ou diferan de lòt yo.	Anda berbeza dengan yang lain.	Você é diferente dos outros.	Ты отличаешься от других.	Tú eres diferente a los otros.	Hili wazo ni la muhimu	நீங்கள் மற்றவர்களிடமிருந்து வித்தியாசமாக இருக்கிறீர்கள்.	นี่เป็นความคิดที่สำคัญ	آپ دوسروں سے مختلف ہیں۔
This is an important idea.	هـذه فـكـرة هـامـة.	এটা অনেক জরুরী ধারণা	这是一个重要的主意。	C'est une idée importante.	Sa a se yon lide enpòtan.	Ini adalah idea penting.	É uma ideia importante.	Это важная идея.	Esta es una idea importante.	Huwa naimba	இது ஒரு முக்கியமான யோசனை.	ฉันร้องเพลง	یہ ایک اہم رائے ہے۔
I do sing.	أنا بالفعل أغني.	আমি গান করতে জানি	我的确唱歌。	Je chante.	M'ap chante.	Saya memang menyanyi.	Eu canto.	Я пою.	Yo canto.	Nilienda kwenye hifadhi	நான் பாடுவேன்.	ฉันไปสวนสาธารณะมา	میں گاتا ہوں۔
I went to the park.	لـقـد ذهـبـتُ إلـى الـحـديـقـة.	আমি পার্কে গিয়েছিলাম	我去了公园。	Je suis allée au parc.	Mwen te ale nan pak la.	Saya pergi ke taman.	Eu fui ao parque.	Я пошел в парк.	Yo fui al parque.	Nilikula vitamu viwili	நான் பூங்காவிற்கு சென்றேன்.	ฉันมีของหวานสองอย่าง	میں پارک (تک) گیا۔
